exercise_slug,language_code,name
3_4_Sit-Up,en,3/4 Sit-Up
3_4_Sit-Up,vi,Gập bụng 3/4
90_90_Hamstring,en,90/90 Hamstring
90_90_Hamstring,vi,Tư thế 90/90 căng cơ gân kheo
Ab_Crunch_Machine,en,Ab Crunch Machine
Ab_Crunch_Machine,vi,Gập bụng máy
Ab_Roller,en,Ab Roller
Ab_Roller,vi,Lăn bánh tập bụng
Adductor,en,Adductor
Adductor,vi,Ép đùi trong
Adductor_Groin,en,Adductor/Groin
Adductor_Groin,vi,Khép đùi
Advanced_Kettlebell_Windmill,en,Advanced Kettlebell Windmill
Advanced_Kettlebell_Windmill,vi,Windmill Tạ Chuông Nâng Cao
Air_Bike,en,Air Bike
Air_Bike,vi,Xe đạp gió
All_Fours_Quad_Stretch,en,All Fours Quad Stretch
All_Fours_Quad_Stretch,vi,Kéo giãn cơ đùi trước tư thế quỳ 4 điểm
Alternate_Hammer_Curl,en,Alternate Hammer Curl
Alternate_Hammer_Curl,vi,Cuốn tạ búa luân phiên
Alternate_Heel_Touchers,en,Alternate Heel Touchers
Alternate_Heel_Touchers,vi,Chạm gót chân luân phiên
Alternate_Incline_Dumbbell_Curl,en,Alternate Incline Dumbbell Curl
Alternate_Incline_Dumbbell_Curl,vi,Cuốn tạ dốc luân phiên
Alternate_Leg_Diagonal_Bound,en,Alternate Leg Diagonal Bound
Alternate_Leg_Diagonal_Bound,vi,Nhảy bound chéo chân luân phiên
Alternating_Cable_Shoulder_Press,en,Alternating Cable Shoulder Press
Alternating_Cable_Shoulder_Press,vi,Đẩy vai cáp luân phiên
Alternating_Deltoid_Raise,en,Alternating Deltoid Raise
Alternating_Deltoid_Raise,vi,Nâng vai trước/ngang luân phiên
Alternating_Floor_Press,en,Alternating Floor Press
Alternating_Floor_Press,vi,Đẩy ngực sàn luân phiên
Alternating_Hang_Clean,en,Alternating Hang Clean
Alternating_Hang_Clean,vi,Nâng tạ đơn luân phiên
Alternating_Kettlebell_Press,en,Alternating Kettlebell Press
Alternating_Kettlebell_Press,vi,Đẩy tạ ấm luân phiên
Alternating_Kettlebell_Row,en,Alternating Kettlebell Row
Alternating_Kettlebell_Row,vi,Kéo tạ chuông luân phiên
Alternating_Renegade_Row,en,Alternating Renegade Row
Alternating_Renegade_Row,vi,Chèo tạ đổi tay
Ankle_Circles,en,Ankle Circles
Ankle_Circles,vi,Xoay mắt cá chân
Ankle_On_The_Knee,en,Ankle On The Knee
Ankle_On_The_Knee,vi,Mắt Cá Chân Trên Đầu Gối
Anterior_Tibialis-SMR,en,Anterior Tibialis-SMR
Anterior_Tibialis-SMR,vi,Massage cơ chày trước (SMR)
Anti-Gravity_Press,en,Anti-Gravity Press
Anti-Gravity_Press,vi,Đẩy ngược
Arm_Circles,en,Arm Circles
Arm_Circles,vi,Xoay cánh tay
Arnold_Dumbbell_Press,en,Arnold Dumbbell Press
Arnold_Dumbbell_Press,vi,Đẩy Vai Arnold
Around_The_Worlds,en,Around The Worlds
Around_The_Worlds,vi,Tập tạ quanh đầu
Atlas_Stone_Trainer,en,Atlas Stone Trainer
Atlas_Stone_Trainer,vi,Đá Atlas
Atlas_Stones,en,Atlas Stones
Atlas_Stones,vi,Đá Atlas
Axle_Deadlift,en,Axle Deadlift
Axle_Deadlift,vi,Kéo tạ thanh dày
Back_Flyes_-_With_Bands,en,Back Flyes - With Bands
Back_Flyes_-_With_Bands,vi,Bay sau với dây kháng lực
Backward_Drag,en,Backward Drag
Backward_Drag,vi,Kéo lùi
Backward_Medicine_Ball_Throw,en,Backward Medicine Ball Throw
Backward_Medicine_Ball_Throw,vi,Ném bóng tạ qua đầu ra sau
Balance_Board,en,Balance Board
Balance_Board,vi,Ván thăng bằng
Ball_Leg_Curl,en,Ball Leg Curl
Ball_Leg_Curl,vi,Gập đùi bóng
Band_Assisted_Pull-Up,en,Band Assisted Pull-Up
Band_Assisted_Pull-Up,vi,Kéo xà có dây kháng lực
Band_Good_Morning,en,Band Good Morning
Band_Good_Morning,vi,Gập người với dây kháng lực
Band_Good_Morning_Pull_Through,en,Band Good Morning (Pull Through)
Band_Good_Morning_Pull_Through,vi,Gập người chào buổi sáng với dây (Pull Through)
Band_Hip_Adductions,en,Band Hip Adductions
Band_Hip_Adductions,vi,Khép hông với dây
Band_Pull_Apart,en,Band Pull Apart
Band_Pull_Apart,vi,Kéo mở ngực với dây cao su
Band_Skull_Crusher,en,Band Skull Crusher
Band_Skull_Crusher,vi,Đẩy triceps nằm kháng lực dây
Barbell_Ab_Rollout,en,Barbell Ab Rollout
Barbell_Ab_Rollout,vi,Lăn tạ đòn gập bụng
Barbell_Ab_Rollout_-_On_Knees,en,Barbell Ab Rollout - On Knees
Barbell_Ab_Rollout_-_On_Knees,vi,Lăn tạ đòn quỳ gối
Barbell_Bench_Press_-_Medium_Grip,en,Barbell Bench Press - Medium Grip
Barbell_Bench_Press_-_Medium_Grip,vi,Đẩy ngực tạ đòn
Barbell_Curl,en,Barbell Curl
Barbell_Curl,vi,Cuốn tạ đòn
Barbell_Curls_Lying_Against_An_Incline,en,Barbell Curls Lying Against An Incline
Barbell_Curls_Lying_Against_An_Incline,vi,Cuốn tạ đòn nằm dốc
Barbell_Deadlift,en,Barbell Deadlift
Barbell_Deadlift,vi,Deadlift thanh đòn
Barbell_Full_Squat,en,Barbell Full Squat
Barbell_Full_Squat,vi,Squat gánh tạ
Barbell_Glute_Bridge,en,Barbell Glute Bridge
Barbell_Glute_Bridge,vi,Nâng hông tạ đòn
Barbell_Guillotine_Bench_Press,en,Barbell Guillotine Bench Press
Barbell_Guillotine_Bench_Press,vi,Đẩy ngực thanh đòn cổ họng
Barbell_Hack_Squat,en,Barbell Hack Squat
Barbell_Hack_Squat,vi,Squat gánh tạ
Barbell_Hip_Thrust,en,Barbell Hip Thrust
Barbell_Hip_Thrust,vi,Hip Thrust
Barbell_Incline_Bench_Press_-_Medium_Grip,en,Barbell Incline Bench Press - Medium Grip
Barbell_Incline_Bench_Press_-_Medium_Grip,vi,Đẩy ngực trên tạ đòn
Barbell_Incline_Shoulder_Raise,en,Barbell Incline Shoulder Raise
Barbell_Incline_Shoulder_Raise,vi,Nâng tạ đòn dốc trên
Barbell_Lunge,en,Barbell Lunge
Barbell_Lunge,vi,Tấn tạ đòn
Barbell_Rear_Delt_Row,en,Barbell Rear Delt Row
Barbell_Rear_Delt_Row,vi,Kéo tạ đòn vai sau
Barbell_Rollout_from_Bench,en,Barbell Rollout from Bench
Barbell_Rollout_from_Bench,vi,Lăn tạ đòn trên ghế
Barbell_Seated_Calf_Raise,en,Barbell Seated Calf Raise
Barbell_Seated_Calf_Raise,vi,Tăng bắp chân ngồi với tạ đòn
Barbell_Shoulder_Press,en,Barbell Shoulder Press
Barbell_Shoulder_Press,vi,Đẩy vai tạ đòn
