recipe_code,category,category_vn,area,area_vn,name_en,name_vi
sweet-potato-salad,Vegetarian,Chay,Turkish,Thổ Nhĩ Kỳ,Sweet potato salad,Nộm khoai lang
escovitch-fish,Seafood,Hải sản,Jamaican,Jamaica,Escovitch Fish,Cá Ngâm Giấm
arepa-pelua,Beef,Thịt bò,Venezulan,Venezuela,Arepa pelua,Bánh arepa bò xé phô mai
bubble--squeak,Pork,Thịt heo,British,Anh,Bubble & Squeak,Bánh khoai tây bắp cải chiên
vietnamese-veg-parcels,Vegetarian,Chay,Vietnamese,Việt Nam,Vietnamese veg parcels,Gỏi cuốn chay
chocolate-raspberry-brownies,Dessert,Món tráng miệng,American,Mỹ,Chocolate Raspberry Brownies,Bánh brownie sô-cô-la mâm xôi
vietnamese-pork-salad,Pork,Thịt heo,Vietnamese,Việt Nam,Vietnamese pork salad,Gỏi thịt heo
15-minute-chicken--halloumi-burgers,Chicken,Thịt gà,American,Mỹ,15-minute chicken & halloumi burgers,Bánh burger gà & phô mai Halloumi 15 phút
cream-cheese-tart,Starter,Món khai vị,American,Mỹ,Cream Cheese Tart,Bánh tart phô mai kem
home-made-mandazi,Breakfast,Bữa sáng,Kenyan,Kenya,Home-made Mandazi,Bánh Mandazi nhà làm
apple-cake,Dessert,Món tráng miệng,Dutch,Hà Lan,Apple cake,Bánh táo
kvæfjord-cake-verdens-beste-worlds-best-cake,Dessert,Món tráng miệng,Norwegian,Na Uy,Kvæfjord Cake “Verdens Beste” (World’s Best Cake),Bánh Na Uy
imam-bayildi-with-bbq-lamb--tzatziki,Lamb,Thịt cừu,Turkish,Thổ Nhĩ Kỳ,Imam bayildi with BBQ lamb & tzatziki,Cà tím nhồi nướng thịt cừu BBQ và sốt Tzatziki
jamon--wild-garlic-croquetas,Pork,Thịt heo,Spanish,Tây Ban Nha,Jamon & wild garlic croquetas,Bánh chiên Jamón tỏi rừng
shrimp-chow-fun,Seafood,Hải sản,Chinese,Tiếng Trung,Shrimp Chow Fun,Hủ Tiếu Xào Tôm
lamb-and-potato-pie,Lamb,Thịt cừu,British,Anh,Lamb and Potato pie,Bánh cừu khoai tây
algerian-flafla-bell-pepper-salad,Vegetarian,Chay,Algerian,Algeria,Algerian Flafla (Bell Pepper Salad),Gỏi ớt chuông
teriyaki-chicken-casserole,Chicken,Thịt gà,Japanese,Nhật Bản,Teriyaki Chicken Casserole,Cơm Gà Teriyaki Nướng
fish-soup-ukha,Seafood,Hải sản,Russian,Nga,Fish Soup (Ukha),Súp cá
walnut-roll-gužvara,Dessert,Món tráng miệng,Croatian,Croatia,Walnut Roll Gužvara,Bánh Cuộn Hồ Đào
cheese-borek,Side,Món ăn kèm,Algerian,Algeria,Cheese Borek,Bánh phô mai
yaki-udon,Vegetarian,Chay,Japanese,Nhật Bản,Yaki Udon,Mì Udon Xào
provençal-omelette-cake,Vegetarian,Chay,French,Pháp,Provençal Omelette Cake,Bánh Omelette Provençal
thai-style-fish-broth-with-greens,Seafood,Hải sản,Thai,Thái,Thai-style fish broth with greens,Canh cá kiểu Thái
turkish-lahmacun,Beef,Thịt bò,Vietnamese,Việt Nam,Turkish lahmacun,Bánh pizza Thổ Nhĩ Kỳ
thai-green-curry,Chicken,Thịt gà,Thai,Thái,Thai Green Curry,Cà Ri Xanh Thái
asado,Beef,Thịt bò,Argentinian,Argentina,Asado,Thịt Nướng
cucumber--fennel-salad,Vegetarian,Chay,Polish,Ba Lan,Cucumber & fennel salad,Gỏi dưa chuột và thì là
beef-pho,Beef,Thịt bò,Vietnamese,Việt Nam,Beef pho,Phở Bò
beef-rendang,Beef,Thịt bò,Malaysian,Malaysia,Beef Rendang,Cà Ri Bò Rendang
keleya-zaara,Lamb,Thịt cừu,Tunisian,Tunisia,Keleya Zaara,Cừu Sốt Nghệ Tây
turkey-bánh-mì,Miscellaneous,Hỗn hợp,Vietnamese,Việt Nam,Turkey Bánh mì,Bánh mì Gà tây
barramundi-with-moroccan-spices,Seafood,Hải sản,Australian,Úc,Barramundi with Moroccan spices,Cá Barramundi với Gia Vị Ma-rốc
red-peas-soup,Beef,Thịt bò,Jamaican,Jamaica,Red Peas Soup,Súp Đậu Đỏ
tandoori-chicken,Chicken,Thịt gà,Indian,Ấn Độ,Tandoori chicken,Gà Tandoori
cashew-ghoriba-biscuits,Dessert,Món tráng miệng,Tunisian,Tunisia,Cashew Ghoriba Biscuits,Bánh quy hạt điều
chocolate-avocado-mousse,Dessert,Món tráng miệng,British,Anh,Chocolate Avocado Mousse,Mousse bơ sô cô la
corba,Side,Món ăn kèm,Turkish,Thổ Nhĩ Kỳ,Corba,Canh
beef-banh-mi-bowls-with-sriracha-mayo-carrot--pickled-cucumber,Beef,Thịt bò,Vietnamese,Việt Nam,"Beef Banh Mi Bowls with Sriracha Mayo, Carrot & Pickled Cucumber",Bún Bò Cà Rốt và Dưa Chua
cinnamon-buns,Dessert,Món tráng miệng,Norwegian,Na Uy,Cinnamon buns,Bánh cuộn quế
boulangère-potatoes,Side,Món ăn kèm,French,Pháp,Boulangère Potatoes,Khoai Tây Boulangère
bakewell-tart,Dessert,Món tráng miệng,British,Anh,Bakewell tart,Bánh tart mứt hạnh nhân
new-york-cheesecake,Dessert,Món tráng miệng,American,Mỹ,New York cheesecake,Bánh phô mai New York
beef-dumpling-stew,Beef,Thịt bò,British,Anh,Beef Dumpling Stew,Bò Kho Bánh Giò
zemiakové-placky,Side,Món ăn kèm,Slovakian,Slovakia,Zemiakové Placky,Bánh khoai tây chiên
rømmegrøt--norwegian-sour-cream-porridge,Breakfast,Bữa sáng,Norwegian,Na Uy,Rømmegrøt – Norwegian Sour Cream Porridge,Cháo Kem Chua Na Uy
thai-beef-stir-fry,Beef,Thịt bò,Thai,Thái,Thai beef stir-fry,Bò xào kiểu Thái
sauerkraut-pierogii,Vegetarian,Chay,Ukrainian,ukraine,Sauerkraut pierogii,Bánh xếp bắp cải ngâm giấm
pan-fried-hake-white-bean--chorizo-broth,Seafood,Hải sản,Spanish,Tây Ban Nha,"Pan-fried hake, white bean & chorizo broth","Cá tuyết áp chảo, súp đậu trắng và xúc xích chorizo"
mee-goreng-mamak,Seafood,Hải sản,Malaysian,Malaysia,Mee goreng mamak,Mì xào Mã Lai
slow-roasted-ham-with-lemon-garlic--sage,Pork,Thịt heo,Polish,Ba Lan,"Slow-roasted ham with lemon, garlic & sage","Giăm bông quay chậm với chanh, tỏi, và xô thơm"
brun-lapskaus-norwegian-beef-vegetable-stew,Beef,Thịt bò,Norwegian,Na Uy,Brun Lapskaus (Norwegian Beef Vegetable Stew),Thịt bò hầm rau củ Na Uy
peanut-butter-cheesecake,Dessert,Món tráng miệng,American,Mỹ,Peanut Butter Cheesecake,Bánh phô mai bơ đậu phộng
apple--blackberry-crumble,Dessert,Món tráng miệng,British,Anh,Apple & Blackberry Crumble,Bánh táo và mâm xôi nướng giòn
norwegian-potato-lefse,Side,Món ăn kèm,Norwegian,Na Uy,Norwegian Potato Lefse,Bánh khoai tây Na Uy
chicken-congee,Chicken,Thịt gà,Chinese,Tiếng Trung,Chicken Congee,Cháo Gà
jerk-chicken-with-rice--peas,Chicken,Thịt gà,Jamaican,Jamaica,Jerk chicken with rice & peas,Gà Jerk với cơm đậu
postre-chajá,Dessert,Món tráng miệng,Uruguayan,Uruguay,Postre Chajá,Bánh Mousse Đào Meringue
chorba-hamra-bel-frik-algerian-lamb-tomato-and-freekeh-soup,Lamb,Thịt cừu,Algerian,Algeria,"Chorba Hamra bel Frik (Algerian Lamb, Tomato, and Freekeh Soup)",Súp Cừu Cà Chua và Hạt Freekeh Algeria
turkish-lamb-pilau,Lamb,Thịt cừu,Turkish,Thổ Nhĩ Kỳ,Turkish lamb pilau,Cơm cừu Thổ Nhĩ Kỳ
seafood-rice,Seafood,Hải sản,Spanish,Tây Ban Nha,Seafood rice,Cơm chiên hải sản
chocolate-churros-with-chocolate--salted-caramel-sauce,Dessert,Món tráng miệng,Spanish,Tây Ban Nha,Chocolate churros with chocolate & salted caramel sauce,Churros sô cô la kèm sốt sô cô la và caramel muối
egg-foo-young,Seafood,Hải sản,Chinese,Tiếng Trung,Egg Foo Young,Trứng chiên thịt
krispy-kreme-donut,Dessert,Món tráng miệng,American,Mỹ,Krispy Kreme Donut,Bánh Donut
bean--sausage-hotpot,Miscellaneous,Hỗn hợp,British,Anh,Bean & Sausage Hotpot,Lẩu Đậu và Xúc Xích
chicken-alfredo-primavera,Chicken,Thịt gà,Italian,Ý,Chicken Alfredo Primavera,Gà Alfredo Rau Củ
cornes-de-gazelle-gazelle-horns,Dessert,Món tráng miệng,Algerian,Algeria,Cornes de Gazelle (Gazelle Horns),Bánh Sừng Hươu
beef-and-oyster-pie,Beef,Thịt bò,British,Anh,Beef and Oyster pie,Bánh Thịt Bò và Hàu
cumberland-pie,Beef,Thịt bò,British,Anh,Cumberland Pie,Bánh pie Cumberland
summer-pistou,Vegetarian,Chay,French,Pháp,Summer Pistou,Sốt húng quế mùa hè
ham-croquetas,Pork,Thịt heo,Spanish,Tây Ban Nha,Ham croquetas,Chả lụa
oatmeal-pancakes,Breakfast,Bữa sáng,Venezulan,Venezuela,Oatmeal pancakes,Bánh kếp yến mạch
shakshuka,Vegetarian,Chay,Egyptian,Ai cập,Shakshuka,Trứng hấp sốt cà chua
broccoli--stilton-soup,Starter,Món khai vị,British,Anh,Broccoli & Stilton soup,Súp bông cải xanh phô mai Stilton
canadian-butter-tarts,Dessert,Món tráng miệng,Canadian,Ca-na-đa,Canadian Butter Tarts,Bánh tart bơ
tourtiere,Pork,Thịt heo,Canadian,Ca-na-đa,Tourtiere,Bánh Pâté Chảo
bigos-polish-hunters-stew,Beef,Thịt bò,Polish,Ba Lan,Bigos (Polish hunter's stew),Súp hầm thợ săn Ba Lan
thai-pork--peanut-curry,Pork,Thịt heo,Thai,Thái,Thai pork & peanut curry,Cà Ri Heo Đậu Phộng (Thái)
jamaican-cornmeal-porridge,Breakfast,Bữa sáng,Jamaican,Jamaica,Jamaican Cornmeal Porridge,Cháo Bột Ngô
torta-de-fiambre,Pork,Thịt heo,Uruguayan,Uruguay,Torta de fiambre,Bánh mặn giăm bông phô mai
mcsinghs-scotch-pie,Lamb,Thịt cừu,British,Anh,McSinghs Scotch pie,Bánh Pâté Sô
crock-pot-chicken-baked-tacos,Chicken,Thịt gà,Mexican, Mexico,Crock Pot Chicken Baked Tacos,Taco Gà Nướng Nồi Hầm
