ingredient_en,ingredient_vi
Ackee,Quả Akee
All purpose flour,Bột mì đa dụng
All-purpose Seasoning,Gia vị đa năng
Allspice,Hạt tiêu Jamaica
Allspice Berries,Hạt tiêu Jamaica
Almond Essence,Hương hạnh nhân
Almond Extract,tinh dầu hạnh nhân
Almond Flour,bột hạnh nhân
almond milk,Sữa hạnh nhân
Almond Paste,bột hạnh nhân
Almonds,hạnh nhân
Ancho Chillies,Ớt Ancho
Anchovy Fillet,phi lê cá cơm
Apple Cider Vinegar,Giấm táo
Apples,quả táo
Apricot,quả mơ
Apricot Jam,Mứt Mơ
asparagus,măng tây
Aubergine,cà tím
Avocado,bơ
Baby Aubergine,cà tím
Baby Lettuce Leaves,lá rau diếp non
Baby New Potatoes,khoai tây non
Baby Pak Koi,Cải thìa non
baby plum tomatoes,cà chua bi
Baby Squid,mực
Bacon,thịt lợn muối xông khói
Bacon lardon,thịt lợn muối xông khói cắt hạt lựu
Baguette,bánh mì
Baked Beans,đậu hầm
Baking Powder,Bột nở
Balsamic Vinegar,giấm balsamic
Bamboo Shoot,măng
Banana,chuối
Barbeque Sauce,Sốt BBQ
barramundi,Cá Chẽm
basil,húng quế
Basil Leaves,Húng Quế
Basmati Rice,Gạo Basmati
Bay Leaf,lá nguyệt quế
Bay Leaves,Lá nguyệt quế
Bean Sprouts,giá đỗ
Beef,thịt bò
Beef Brisket,Gầu bò
Beef Cutlet,Thịt bò cốt lết
Beef Fillet,Thăn phi lê
Beef Flank Steak,Nạm thăn bò
Beef Gravy,Nước thịt bò
Beef Shin,Bắp bò
Beef Stock,nước dùng bò
Beef Stock Concentrate,Bò cô đặc
Beef Stock Cubes,Viên súp bò
Beef tomatoes,Cà chua bò
Beer,Bia
Beetroot,củ dền
Bicarbonate Of Soda,bột nổi
Birds-eye Chillies,ớt hiểm
Biryani masala,Gia vị Biryani
Black Beans,đậu đen
Black Olives,Ô liu đen
Black Pepper,tiêu đen
Black Pudding,dồi
Black Treacle,mật đường đen
Blackberries,mâm xôi
Blackcurrant Jam,Mứt lý chua đen
Blueberries,việt quất
Boiling Water,nước sôi
Bok Choi,cải thìa
Borlotti Beans,Đậu Borlotti
Bouillon Cubes,Viên nước dùng
Bouquet Garni,túi thảo mộc
bowtie pasta,mì nui nơ bướm
Braeburn Apples,Táo Braeburn
Bramley Apples,Táo Bramley
Brandy,rượu brandy
Bread,bánh mì
Bread Flour,bột bánh mì
Bread Rolls,Bánh mì
Breadcrumbs,bột chiên xù
Brie,Brie
Broad Beans,đậu tằm
Broccoli,súp lơ xanh
Brown Lentils,đậu lăng nâu
Brown Rice,gạo lứt
Brown Rice Noodle,Bún lứt
Brown Sugar,đường nâu
Brussels Sprouts,cải Brussels
Bryndza cheese,Phô mai Bryndza
Buckwheat,kiều mạch
Buckwheat Flour,bột kiều mạch
Bulgur Wheat,Lúa mì bulgur
Bun,Bánh mì tròn
Buns,Bánh
Butter,bơ
Butter Beans,Đậu bơ
Buttermilk,Sữa bơ
Butternut Squash,bí hồ lô
