Food_Item,Food_Item_VN,Category,Category_VN,Calories (kcal),Protein (g),Carbohydrates (g),Fat (g),Fiber (g),Sugars (g),Sodium (mg),Cholesterol (mg),Meal_Type,Water_Intake (ml)
Scrambled Eggs (2 large),Trứng chiên (2 quả lớn),Protein/Dairy,Chất đạm/Sữa,180,12,2,14,0,1,180,370,Breakfast,250
Whole Wheat Toast (1 slice),Bánh mì nướng lúa mì nguyên hạt (1 lát),Grain,Ngũ cốc,80,4,14,1,2,2,140,0,Breakfast,0
Coffee (black),Cà phê đen (không đường),Beverage,Đồ uống,5,0.3,0,0.1,0,0,5,0,Breakfast,0
Banana,Chuối,Fruit,Trái cây,105,"46,082.00",27,0.4,3.1,14,1,0,Breakfast,0
Grilled Chicken Salad,Gỏi Gà Nướng,Meal/Protein,Bữa ăn/Chất đạm,350,30,10,20,5,4,400,80,Lunch,500
Apple,Táo,Fruit,Trái cây,95,0.5,25,0.3,4.4,19,2,0,Snack,0
Salmon (4oz grilled),Cá hồi (113 gram nướng),Protein/Fish,Chất đạm/Cá,230,25,0,14,0,0,60,60,Dinner,250
Quinoa (1 cup cooked),Hạt Diêm Mạch (185 gram đã nấu),Grain,Ngũ cốc,222,8,39,"46,176.00",5,1,13,0,Dinner,0
Steamed Broccoli (1 cup),Bông cải xanh hấp (120 gram),Vegetable,Rau củ,55,"46,206.00","46,064.00",0.6,5.1,2,40,0,Dinner,0
Greek Yogurt (plain 1 cup),"Sữa Chua Hy Lạp (nguyên chất, 240g)",Dairy,Sản phẩm từ sữa,150,25,8,3,0,7,85,10,Snack,250
Oatmeal (1 cup cooked),Bột yến mạch (240 gram đã nấu chín),Grain,Ngũ cốc,160,6,28,3,4,1,2,0,Breakfast,250
Blueberries (1/2 cup),Quả việt quất (74 g),Fruit,Trái cây,42,0.5,11,0.2,1.8,7,1,0,Breakfast,0
Almonds (1 oz),Hạnh nhân (28.35 g),Nut,Hạt,164,6,6,14,3.5,1,1,0,Snack,0
