recipe_code,name_en,name_vn,instructions_en,instructions_vn
sweet-potato-salad,Sweet potato salad,Gỏi khoai lang,"step 1  Heat oven to 200C/180C fan/gas 6. Toss the sweet potato chunks with the olive oil and some seasoning, and spread on a baking parchment-lined baking sheet. Roast for 30 - 35 mins until tender and golden. Cool at room temperature.    step 2  When just about cool whisk together all the dressing ingredients with a little more seasoning and gently toss through the potato chunks – use your hands to avoid breaking them up.","Bước 1: Làm nóng lò nướng đến 200C/180C quạt/gas số 6. Trộn khoai lang cắt miếng với dầu ô liu và gia vị, sau đó dàn đều lên khay nướng đã lót giấy nến. Nướng trong 30 - 35 phút cho đến khi mềm và vàng. Để nguội ở nhiệt độ phòng.

Bước 2: Khi khoai gần nguội, đánh đều tất cả nguyên liệu làm nước sốt trộn với một chút gia vị nữa và nhẹ nhàng trộn với khoai lang—dùng tay để tránh làm nát."
escovitch-fish,Escovitch Fish,Cá chiên giấm ớt,"Rinse fish; rub with lemon or lime, seasoned with salt and pepper or use your favorite seasoning. I used creole seasoning. Set aside or place in the oven to keep it warm until sauce is ready.    In large skillet heat oil over medium heat, until hot, add the fish, cook each side- for about 5-7 minutes until cooked through and crispy on both sides. Remove fish and set aside. Drain oil and leave about 2-3 tablespoons of oil  Add, bay leave, garlic and ginger, stir-fry for about a minute making sure the garlic does not burn  Then add onion, bell peppers, thyme, scotch bonnet, sugar, all spice-continue stirring for about 2-3 minutes. Add vinegar, mix an adjust salt and pepper according to preference. Let it simmer for about 2 more minutes.     Discard bay leave, thyme spring and serve over fish with a side of this bammy. You may make the sauce about 2 days in advance.","Rửa cá; xát chanh hoặc chanh xanh, nêm muối tiêu hoặc dùng gia vị yêu thích. Tôi dùng gia vị Creole. Để riêng hoặc cho vào lò nướng giữ ấm cho đến khi sốt sẵn sàng. Đun nóng dầu trong chảo lớn ở lửa vừa cho đến khi nóng, cho cá vào, chiên mỗi mặt khoảng 5-7 phút cho đến khi chín đều và giòn cả hai mặt. Lấy cá ra và để riêng. Gạn dầu chỉ để lại khoảng 2-3 muỗng canh dầu. Thêm lá nguyệt quế, tỏi và gừng, xào khoảng một phút, đảm bảo tỏi không bị cháy. Sau đó thêm hành tây, ớt chuông, húng tây, ớt hiểm Scotch Bonnet, đường, gia vị tổng hợp - tiếp tục đảo khoảng 2-3 phút. Thêm giấm, trộn và điều chỉnh muối tiêu theo sở thích. Để nhỏ lửa thêm khoảng 2 phút nữa. Bỏ lá nguyệt quế, cọng húng tây và dùng với cá kèm với món bammy này. Bạn có thể làm sốt trước khoảng 2 ngày."
arepa-pelua,Arepa pelua,Bánh arepa nhân thịt bò xé và phô mai,"Cook the meat: Place the flank steak in a pot with broth or water and salt. Cook over low heat for about 2 hours, until tender and easy to shred.  Shred the meat: Once cooked, drain and shred the meat using two forks.  Prepare the vegetables: Sauté chopped onion, bell pepper, and garlic in a little oil. Add cumin, oregano, paprika, and salt. Stir in the meat and cook for a few minutes until the flavors are well combined.  Make the dough: In a bowl, mix the cornmeal with warm water and salt until a soft dough forms. Let it rest for 5 minutes.  Form the arepas: Divide the dough into 6 portions, shape into balls, and flatten into thick discs.  Cook: Cook the arepas on a griddle or skillet over medium heat for 2–3 minutes on each side until golden. You can then bake them for a few minutes if you prefer them crispier.  Fill: Slice the arepas open on one side, fill with the hot shredded beef, and top with grated cheese.","Nấu thịt: Cho thịt bò bắp vào nồi cùng nước dùng hoặc nước lọc và muối. Nấu lửa nhỏ khoảng 2 giờ cho đến khi mềm và dễ xé. Xé thịt: Sau khi nấu, vớt ra và dùng hai nĩa xé nhỏ thịt. Chuẩn bị rau củ: Phi thơm hành tây, ớt chuông và tỏi đã thái nhỏ với một ít dầu. Thêm thì là, kinh giới, bột ớt paprika và muối. Cho thịt vào xào thêm vài phút cho ngấm gia vị. Làm bột: Trộn bột ngô với nước ấm và muối trong tô cho đến khi thành hỗn hợp bột mềm. Để bột nghỉ 5 phút. Tạo hình arepa: Chia bột thành 6 phần, vo tròn và làm dẹt thành các đĩa dày. Nướng: Nướng arepa trên chảo hoặc vỉ nướng ở lửa vừa khoảng 2–3 phút mỗi mặt cho đến khi vàng. Có thể nướng thêm vài phút nếu thích giòn hơn. Nhân: Xẻ arepa một bên, cho thịt bò xé nóng vào và phủ phô mai bào."
bubble-squeak,Bubble & Squeak,Cơm chiên bắp cải,"Melt the fat in a non-stick pan, allow it to get nice and hot, then add the bacon. As it begins to brown, add the onion and garlic. Next, add the sliced sprouts or cabbage and let it colour slightly. All this will take 5-6 mins.  Next, add the potato. Work everything together in the pan and push it down so that the mixture covers the base of the pan – allow the mixture to catch slightly on the base of the pan before turning it over and doing the same again. It’s the bits of potato that catch in the pan that define the term ‘bubble and squeak’, so be brave and let the mixture colour. Cut into wedges and serve.","Đun chảy mỡ trong chảo chống dính, để nóng già rồi cho thịt xông khói vào. Khi thịt bắt đầu chuyển màu nâu, cho hành tây và tỏi vào. Tiếp theo, cho bắp cải hoặc cải Brussels cắt lát vào xào sơ. Toàn bộ quá trình này mất 5-6 phút. Kế tiếp, cho khoai tây vào. Trộn đều mọi thứ trong chảo và nén xuống để hỗn hợp phủ kín đáy chảo – để hỗn hợp hơi cháy ở đáy rồi lật lại và làm tương tự. Phần khoai tây cháy cạnh này định nghĩa thuật ngữ ‘bubble and squeak’ nên cứ mạnh dạn để hỗn hợp có màu. Cắt thành miếng và dùng."
vietnamese-veg-parcels,Vietnamese veg parcels,Gỏi cuốn chay,"step 1  Soak the rice fl our pancakes according to pack instructions or in boiling water for 30 secs. Remove and cool on kitchen paper. Soak the rice noodles according to pack instructions, then drain and cut them into 2cm strips.    step 2  Lay a rice pancake on a board and arrange some rice noodles, chicken, vegetables and herb leaves about a third of the way up, leaving a 1cm edge at the side. Fold the sides over the vegetables and then roll up lengthways to make a cigar. Store in the fridge, covered with moist kitchen paper for up to 1 day.    step 3  Mix together the ingredients for the dipping sauce and put into a bowl. To serve, arrange the rolls on a plate along with the leaves and herbs. To eat, wrap each roll in a piece of lettuce with a herb sprig and dunk into the sauce.","Bước 1: Ngâm bánh tráng theo hướng dẫn trên bao bì hoặc ngâm trong nước sôi 30 giây. Vớt ra và để nguội trên giấy thấm dầu. Ngâm bún gạo theo hướng dẫn trên bao bì, sau đó vớt ra và cắt thành sợi dài 2cm. Bước 2: Trải bánh tráng lên thớt và sắp xếp bún gạo, thịt gà, rau củ và lá thơm cách mép khoảng một phần ba, chừa lại 1cm ở mép bên. Gấp các mép bên lên trên rau củ, sau đó cuộn dọc lại thành hình điếu thuốc. Bảo quản trong tủ lạnh, đậy bằng giấy thấm ẩm, tối đa 1 ngày. Bước 3: Trộn đều các nguyên liệu làm nước chấm và cho vào chén. Khi dọn ra, xếp các cuốn lên đĩa cùng với xà lách và rau thơm. Để ăn, cuộn từng cuốn trong một lá xà lách với một cọng rau thơm và chấm vào nước sốt."
chocolate-raspberry-brownies,Chocolate Raspberry Brownies,Bánh brownie sô cô la mâm xôi,"Heat oven to 180C/160C fan/gas 4. Line a 20 x 30cm baking tray tin with baking parchment. Put the chocolate, butter and sugar in a pan and gently melt, stirring occasionally with a wooden spoon. Remove from the heat.  Stir the eggs, one by one, into the melted chocolate mixture. Sieve over the flour and cocoa, and stir in. Stir in half the raspberries, scrape into the tray, then scatter over the remaining raspberries. Bake on the middle shelf for 30 mins or, if you prefer a firmer texture, for 5 mins more. Cool before slicing into squares. Store in an airtight container for up to 3 days.","Làm nóng lò nướng đến 180°C/160°C quạt/gas số 4. Lót giấy nướng vào khuôn nướng 20 x 30cm. Cho sô cô la, bơ và đường vào nồi, đun chảy nhẹ, thỉnh thoảng khuấy bằng muỗng gỗ. Nhấc ra khỏi bếp. Khuấy trứng từng quả một vào hỗn hợp sô cô la đã chảy. Rây bột mì và ca cao lên, rồi khuấy đều. Cho một nửa lượng quả mâm xôi vào, trút hỗn hợp vào khuôn, sau đó rắc phần mâm xôi còn lại lên trên. Nướng ở ngăn giữa trong 30 phút, hoặc thêm 5 phút nếu muốn bánh cứng hơn. Để nguội trước khi cắt thành miếng vuông. Bảo quản trong hộp kín khí tối đa 3 ngày."
vietnamese-pork-salad,Vietnamese pork salad,Bún thịt nướng,"step 1  The day before: make the dressing. Put the sugar and lime juice in a pan with 1 tbsp water and bring to the boil to dissolve the sugar. Add the chilli and coriander and stir well, then pulse in a blender until smooth. Tip into a bowl, then stir in the sesame oil, fish sauce, soy sauce and sesame seeds to make a dressing. Cover and chill until needed.    step 2  Two hours before serving: heat a griddle pan. Preheat the oven to 200C/gas 6/fan 180C. Brush the pork with oil and griddle on all sides for a few minutes until seared. Transfer to a baking tray and put in the oven for about 10-12 minutes until cooked through. Cool, thinly slice against the grain of the meat. Tip into a bowl and pour over half the dressing.    step 3  To serve: toss the remaining salad ingredients in a bowl with the remaining dressing. Pile on to a platter, top with the pork slices and spoon over any juices.","Bước 1 Ngày hôm trước: làm nước sốt. Cho đường và nước cốt chanh vào nồi cùng 1 muỗng canh nước, đun sôi cho đường tan. Thêm ớt và ngò, khuấy đều, sau đó xay nhuyễn trong máy xay sinh tố. Đổ ra bát, sau đó cho dầu mè, nước mắm, xì dầu và hạt mè vào khuấy đều làm nước sốt. Đậy lại và để lạnh cho đến khi cần.

Bước 2 Hai giờ trước khi dùng: làm nóng chảo nướng. Làm nóng lò nướng đến 200°C/gas 6/quạt 180°C. Phết dầu lên thịt heo và áp chảo vài phút mỗi mặt cho đến khi xém. Chuyển sang khay nướng và cho vào lò khoảng 10-12 phút cho đến khi chín. Để nguội, thái lát mỏng ngang thớ thịt. Cho vào bát và rưới một nửa lượng nước sốt lên.

Bước 3 Khi dùng: trộn các nguyên liệu salad còn lại trong bát với phần nước sốt còn lại. Xếp lên đĩa, đặt các lát thịt heo lên trên và rưới nước thịt còn lại."
15-minute-chicken--halloumi-burgers,15-minute chicken & halloumi burgers,Bánh mì kẹp gà,"STEP 1    Put the chicken breasts between two pieces of baking parchment and use a rolling pin to gently bash them until they are approximately 1cm thick. Cut each chicken breast into two even pieces.    STEP 2    If you're using a frying pan, heat two frying pans over medium-high heat, with one of them containing oil. Fry the chicken in the oiled pan for 3-4 mins on each side until they are cooked through. Season the chicken, reduce the heat, drizzle in the chilli sauce and half of the lemon juice, and cook for an additional 1-2 mins until the sauce is reduced. Remove the chicken from the heat.    STEP 3    If you're using an air-fryer, preheat it to 180C for 4 mins. Add the chicken to the air-fryer and cook for 12 mins. Drizzle over the chilli sauce and half the lemon juice and cook for an additional 1-2 mins until the chicken is cooked through and the sauce is reduced. Remove the chicken and keep it warm.  STEP 4    While the chicken is cooking, toast the buns in the dry frying pan for 30 seconds. Transfer them to a plate. If you're using an air fryer, put the buns in the air fryer for 1-2 mins until they are warm. Increase the air fryer temperature to 200C. Add the halloumi to the air fryer basket and cook for 10 mins, turning halfway through, until it's golden. Toss the cabbage with the mayo and the remaining lemon juice.    STEP 5    Spoon the hummus (or dip of your choice) into the toasted buns, then top with the rocket, chilli chicken, halloumi, and peppers. Drizzle with a little more chilli sauce, spoon over the cabbage, season with black pepper, and top with the bun lids. Serve with any extra cabbage on the side or a green salad.","BƯỚC 1 Đặt ức gà giữa hai miếng giấy nến và dùng cây cán bột đập nhẹ cho đến khi dày khoảng 1cm. Cắt mỗi miếng ức gà thành hai phần bằng nhau. BƯỚC 2 Nếu dùng chảo, đun nóng hai chảo ở lửa vừa-cao, một chảo có dầu ăn. Chiên gà trong chảo có dầu 3-4 phút mỗi mặt cho đến khi chín. Nêm gia vị, giảm lửa, rưới sốt ớt và một nửa nước cốt chanh, nấu thêm 1-2 phút cho sốt sệt lại. Lấy gà ra khỏi bếp. BƯỚC 3 Nếu dùng nồi chiên không dầu, làm nóng trước ở 180°C trong 4 phút. Cho gà vào nồi chiên không dầu và nấu 12 phút. Rưới sốt ớt và một nửa nước cốt chanh, nấu thêm 1-2 phút cho đến khi gà chín và sốt sệt lại. Lấy gà ra và giữ ấm. BƯỚC 4 Trong khi gà đang nấu, nướng bánh mì trong chảo khô 30 giây. Chuyển ra đĩa. Nếu dùng nồi chiên không dầu, cho bánh mì vào nồi chiên không dầu 1-2 phút cho đến khi ấm. Tăng nhiệt độ nồi chiên không dầu lên 200°C. Cho phô mai halloumi vào rổ chiên không dầu và nấu 10 phút, trở mặt giữa chừng, cho đến khi vàng. Trộn bắp cải với sốt mayonnaise và phần nước cốt chanh còn lại. BƯỚC 5 Múc hummus (hoặc loại sốt chấm tùy chọn) vào bánh mì nướng, sau đó xếp rau rocket, gà ớt, halloumi và ớt chuông lên trên. Rưới thêm một chút sốt ớt, múc bắp cải lên, nêm tiêu đen và đậy nắp bánh mì lại. Dùng kèm bắp cải thừa hoặc salad xanh."
cream-cheese-tart,Cream Cheese Tart,Bánh tart phô mai kem,"Crust: make a dough from 250g flour (I like mixing different flours like plain and wholegrain spelt flour), 125g butter, 1 egg and a pinch of salt, press it into a tart form and place it in the fridge. Filling: stir 300g cream cheese and 100ml milk until smooth, add in 3 eggs, 100g grated parmesan cheese and season with salt, pepper and nutmeg. Take the crust out of the fridge and prick the bottom with a fork. Pour in the filling and bake at 175 degrees C for about 25 minutes. Cover the tart with some aluminium foil after half the time. In the mean time, slice about 350g mini tomatoes. In a small pan heat 3tbsp olive oil, 3tbsp white vinegar, 1 tbsp honey, salt and pepper and combine well. Pour over the tomato slices and mix well. With a spoon, place the tomato slices on the tart, avoiding too much liquid on it. Decorate with basil leaves and enjoy","Đế bánh: Trộn bột (250g bột, có thể dùng hỗn hợp bột mì thường và bột spelt nguyên cám), 125g bơ, 1 quả trứng, và một nhúm muối để làm bột, ấn bột vào khuôn bánh tart và cho vào tủ lạnh. Nhân bánh: Đánh đều 300g kem phô mai và 100ml sữa cho mịn, thêm 3 quả trứng, 100g phô mai parmesan bào, nêm muối, tiêu và hạt nhục đậu khấu. Lấy đế bánh ra khỏi tủ lạnh và dùng nĩa châm lỗ dưới đáy. Đổ nhân vào và nướng ở 175 độ C khoảng 25 phút. Sau nửa thời gian, phủ giấy bạc lên bánh. Trong lúc đó, thái lát khoảng 350g cà chua bi. Đun nóng 3 muỗng canh dầu ô liu, 3 muỗng canh giấm trắng, 1 muỗng canh mật ong, muối và tiêu trong chảo nhỏ, trộn đều. Đổ lên cà chua đã thái lát và trộn đều. Dùng muỗng xếp cà chua lên mặt bánh tart, tránh để quá nhiều nước. Trang trí bằng lá húng quế và thưởng thức."
home-made-mandazi,Home-made Mandazi,Bánh rán,"This is one recipe a lot of people have requested and I have tried to make it as simple as possible and I hope it will work for you. Make sure you use the right flour which is basically one with raising agents. Adjust the amount of sugar to your taste and try using different flavours to have variety whenever you have them.  You can use Coconut milk instead of regular milk, you can also add desiccated coconut to the dry flour or other spices like powdered cloves or cinnamon.  For “healthy looking” mandazis do not roll the dough too thin before frying and use the procedure I have indicated above.    1. Mix the flour,cinnamon and sugar in a suitable bowl.  2. In a separate bowl whisk the egg into the milk  3. Make a well at the centre of the flour and add the milk and egg mixture and slowly mix to form a dough.  4. Knead the dough for 3-4 minutes or until it stops sticking to the sides of the bowl and you have a smooth surface.  5. Cover the dough with a damp cloth  and allow to rest for 15 minutes.  6. Roll the dough on a lightly floured surface into a 1cm thick piece.  7. Using a sharp small knife, cut the dough into the desired size setting aside ready for deep frying.  8. Heat your oil in a suitable pot and gently dip the mandazi pieces to cook until light brown on the first side then turn to cook on the second side.  9. Serve them warm or cold","1.  Trộn bột mì, quế và đường trong tô phù hợp.
2.  Đánh trứng với sữa trong tô riêng.
3.  Tạo một lỗ trũng ở giữa bột mì, thêm hỗn hợp sữa và trứng, từ từ trộn để tạo thành khối bột.
4.  Nhào bột 3-4 phút hoặc cho đến khi bột không dính vào thành tô và bề mặt mịn.
5.  Phủ khăn ẩm lên bột và để nghỉ 15 phút.
6.  Cán bột trên bề mặt đã rắc ít bột thành miếng dày 1cm.
7.  Dùng dao nhỏ sắc cắt bột thành kích cỡ mong muốn, đặt sang bên để chuẩn bị chiên ngập dầu.
8.  Đun nóng dầu trong nồi thích hợp, nhẹ nhàng thả bánh mandazi vào chiên cho đến khi mặt đầu tiên chuyển màu nâu nhạt, sau đó lật lại chiên mặt thứ hai.
9.  Dùng nóng hoặc lạnh."
