recipe_code,name_en,step_order,instruction_en,instruction_vi
sweet-potato-salad,Sweet potato salad,1,"Heat oven to 200C/180C fan/gas 6. Toss the sweet potato chunks with the olive oil and some seasoning, and spread on a baking parchment-lined baking sheet. Roast for 30 - 35 mins until tender and golden. Cool at room temperature.","Làm nóng lò nướng ở 200°C/180°C quạt/gas 6. Trộn khoai lang cắt miếng với dầu ô liu và một chút gia vị, rồi trải lên khay nướng đã lót giấy nến. Nướng trong 30 - 35 phút cho đến khi mềm và vàng. Để nguội ở nhiệt độ phòng."
sweet-potato-salad,Sweet potato salad,2,When just about cool whisk together all the dressing ingredients with a little more seasoning and gently toss through the potato chunks – use your hands to avoid breaking them up.,"Khi khoai tây gần nguội, đánh đều tất cả nguyên liệu làm nước sốt với một chút gia vị nữa và nhẹ nhàng trộn đều với khoai tây đã cắt miếng – dùng tay để tránh làm nát khoai tây."
escovitch-fish,Escovitch Fish,1,"Rinse fish; rub with lemon or lime, seasoned with salt and pepper or use your favorite seasoning. I used creole seasoning. Set aside or place in the oven to keep it warm until sauce is ready.","Rửa cá; xoa với chanh vàng hoặc chanh xanh, nêm nếm muối và tiêu hoặc dùng gia vị yêu thích của bạn. Tôi đã dùng gia vị creole. Để riêng hoặc cho vào lò nướng để giữ ấm cho đến khi sốt sẵn sàng."
escovitch-fish,Escovitch Fish,2,"In large skillet heat oil over medium heat, until hot, add the fish, cook each side- for about 5-7 minutes until cooked through and crispy on both sides. Remove fish and set aside. Drain oil and leave about 2-3 tablespoons of oil","Trong chảo lớn, đun nóng dầu ăn ở lửa vừa đến khi nóng, cho cá vào, chiên mỗi mặt khoảng 5-7 phút cho đến khi cá chín đều và giòn cả hai mặt. Gắp cá ra và để riêng. Đổ bớt dầu, chỉ để lại khoảng 2-3 muỗng canh dầu."
escovitch-fish,Escovitch Fish,3,"Add, bay leave, garlic and ginger, stir-fry for about a minute making sure the garlic does not burn","Cho lá nguyệt quế (hoặc lá thơm), tỏi và gừng vào, xào khoảng một phút, đảm bảo tỏi không bị cháy."
escovitch-fish,Escovitch Fish,4,"Then add onion, bell peppers, thyme, scotch bonnet, sugar, all spice-continue stirring for about 2-3 minutes. Add vinegar, mix an adjust salt and pepper according to preference. Let it simmer for about 2 more minutes.","Sau đó cho hành tây, ớt chuông, cỏ xạ hương, ớt scotch bonnet, đường, gia vị tổng hợp vào-tiếp tục khuấy trong khoảng 2-3 phút. Thêm giấm, trộn đều và điều chỉnh muối và tiêu theo sở thích. Để hỗn hợp sôi liu riu thêm khoảng 2 phút nữa."
escovitch-fish,Escovitch Fish,5,"Discard bay leave, thyme spring and serve over fish with a side of this bammy. You may make the sauce about 2 days in advance.","Bỏ lá nguyệt quế, cọng thyme và dọn lên ăn kèm cá với một miếng bammy. Bạn có thể làm nước sốt trước khoảng 2 ngày."
arepa-pelua,Arepa pelua,1,"Cook the meat: Place the flank steak in a pot with broth or water and salt. Cook over low heat for about 2 hours, until tender and easy to shred.","Luộc/Hầm thịt: Cho thịt thăn bụng bò vào nồi cùng nước dùng hoặc nước lọc và muối. Nấu nhỏ lửa khoảng 2 giờ, đến khi thịt mềm và dễ xé sợi."
arepa-pelua,Arepa pelua,2,"Shred the meat: Once cooked, drain and shred the meat using two forks.","Xé thịt: Sau khi thịt chín, vớt ra và dùng hai chiếc nĩa để xé thịt."
arepa-pelua,Arepa pelua,3,"Prepare the vegetables: Sauté chopped onion, bell pepper, and garlic in a little oil. Add cumin, oregano, paprika, and salt. Stir in the meat and cook for a few minutes until the flavors are well combined.","Chuẩn bị rau củ: Xào hành tây thái nhỏ, ớt chuông, và tỏi với một chút dầu ăn. Thêm thì là Ai Cập, kinh giới, ớt bột paprika, và muối. Cho thịt vào đảo đều và nấu thêm vài phút cho các hương vị hòa quyện."
arepa-pelua,Arepa pelua,4,"Make the dough: In a bowl, mix the cornmeal with warm water and salt until a soft dough forms. Let it rest for 5 minutes.","Làm bột: Trong một cái tô, trộn bột ngô với nước ấm và muối cho đến khi bột mềm. Để bột nghỉ 5 phút."
arepa-pelua,Arepa pelua,5,"Form the arepas: Divide the dough into 6 portions, shape into balls, and flatten into thick discs.","Tạo arepas: Chia bột thành 6 phần, vo thành viên tròn, rồi ấn dẹt thành các đĩa dày."
arepa-pelua,Arepa pelua,6,Cook: Cook the arepas on a griddle or skillet over medium heat for 2–3 minutes on each side until golden. You can then bake them for a few minutes if you prefer them crispier.,"Nướng: Nướng bánh arepas trên vỉ nướng hoặc chảo với lửa vừa trong 2–3 phút mỗi mặt cho đến khi vàng. Sau đó, bạn có thể nướng chúng trong lò vài phút nếu thích bánh giòn hơn."
arepa-pelua,Arepa pelua,7,"Fill: Slice the arepas open on one side, fill with the hot shredded beef, and top with grated cheese.","Nhân: Cắt bánh arepas mở ra một bên, cho thịt bò xé nóng vào nhân, và trên cùng rắc phô mai bào."
bubble-squeak,Bubble & Squeak,1,"Melt the fat in a non-stick pan, allow it to get nice and hot, then add the bacon. As it begins to brown, add the onion and garlic. Next, add the sliced sprouts or cabbage and let it colour slightly. All this will take 5-6 mins.","Cho mỡ vào chảo chống dính, đun cho mỡ thật nóng, sau đó cho thịt xông khói vào. Khi thịt bắt đầu chuyển màu vàng, cho hành tây và tỏi vào. Tiếp theo, cho bắp cải hoặc cải Brussels cắt lát vào, xào cho có màu đẹp. Toàn bộ quá trình này mất 5-6 phút."
bubble-squeak,Bubble & Squeak,2,"Next, add the potato. Work everything together in the pan and push it down so that the mixture covers the base of the pan – allow the mixture to catch slightly on the base of the pan before turning it over and doing the same again. It’s the bits of potato that catch in the pan that define the term ‘bubble and squeak’, so be brave and let the mixture colour. Cut into wedges and serve.","Tiếp theo, cho khoai tây vào. Trộn đều mọi thứ trong chảo và ấn xuống để hỗn hợp phủ kín đáy chảo – để hỗn hợp hơi bén vào đáy chảo trước khi lật lại và làm tương tự. Chính những miếng khoai tây bén vào chảo này tạo nên định nghĩa 'bubble and squeak', vì vậy hãy mạnh dạn để hỗn hợp có màu. Cắt thành miếng hình nêm và dùng."
vietnamese-veg-parcels,Vietnamese veg parcels,1,"Soak the rice fl our pancakes according to pack instructions or in boiling water for 30 secs. Remove and cool on kitchen paper. Soak the rice noodles according to pack instructions, then drain and cut them into 2cm strips.","Ngâm bánh tráng theo hướng dẫn trên bao bì hoặc trong nước sôi khoảng 30 giây. Lấy ra và để nguội trên giấy bếp. Ngâm bún gạo theo hướng dẫn trên bao bì, sau đó vớt ra và cắt thành các sợi dài 2cm."
vietnamese-veg-parcels,Vietnamese veg parcels,2,"Lay a rice pancake on a board and arrange some rice noodles, chicken, vegetables and herb leaves about a third of the way up, leaving a 1cm edge at the side. Fold the sides over the vegetables and then roll up lengthways to make a cigar. Store in the fridge, covered with moist kitchen paper for up to 1 day.","Trải bánh tráng ra thớt, xếp bún, thịt gà, rau củ và lá thơm lên khoảng một phần ba bánh, chừa lại 1cm mép ở hai bên. Gấp hai mép bánh tráng vào, sau đó cuộn tròn theo chiều dài thành hình điếu thuốc. Bảo quản trong tủ lạnh, đậy bằng khăn giấy ẩm, tối đa 1 ngày."
vietnamese-veg-parcels,Vietnamese veg parcels,3,"Mix together the ingredients for the dipping sauce and put into a bowl. To serve, arrange the rolls on a plate along with the leaves and herbs. To eat, wrap each roll in a piece of lettuce with a herb sprig and dunk into the sauce.","Trộn đều các nguyên liệu làm nước chấm và cho vào bát. Khi dùng, bày chả giò ra đĩa cùng với rau sống và rau thơm. Khi ăn, cuốn mỗi cuốn chả giò trong một miếng xà lách cùng với một nhánh rau thơm rồi chấm vào nước chấm."
