exercise_slug,language_code,step_order,instruction
3_4_Sit-Up,en,1,Lie down on the floor and secure your feet. Your legs should be bent at the knees.
3_4_Sit-Up,vi,1,"Nằm xuống sàn, cố định chân, đầu gối gập."
3_4_Sit-Up,en,2,Place your hands behind or to the side of your head. You will begin with your back on the ground. This will be your starting position.
3_4_Sit-Up,vi,2,Đặt tay sau đầu hoặc bên tai. Bắt đầu với lưng trên mặt đất. Đây là vị trí ban đầu.
3_4_Sit-Up,en,3,Flex your hips and spine to raise your torso toward your knees.
3_4_Sit-Up,vi,3,Gập hông và cột sống để nâng thân trên về phía đầu gối.
3_4_Sit-Up,en,4,"At the top of the contraction your torso should be perpendicular to the ground. Reverse the motion, going only ¾ of the way down."
3_4_Sit-Up,vi,4,"Ở đỉnh của động tác siết cơ, thân người của bạn phải vuông góc với mặt đất. Đảo ngược chuyển động, chỉ xuống ¾ quãng đường."
3_4_Sit-Up,en,5,Repeat for the recommended amount of repetitions.
3_4_Sit-Up,vi,5,Lặp lại theo số lần khuyến nghị.
90_90_Hamstring,en,1,"Lie on your back, with one leg extended straight out."
90_90_Hamstring,vi,1,"Nằm ngửa, duỗi thẳng một chân."
90_90_Hamstring,en,2,"With the other leg, bend the hip and knee to 90 degrees. You may brace your leg with your hands if necessary. This will be your starting position."
90_90_Hamstring,vi,2,"Chân còn lại, gập hông và đầu gối 90 độ. Có thể dùng tay giữ chân nếu cần. Đây là tư thế bắt đầu."
90_90_Hamstring,en,3,"Extend your leg straight into the air, pausing briefly at the top. Return the leg to the starting position."
90_90_Hamstring,vi,3,"Duỗi thẳng chân lên không, giữ lại một chút ở trên cùng. Hạ chân về vị trí ban đầu."
90_90_Hamstring,en,4,"Repeat for 10-20 repetitions, and then switch to the other leg."
90_90_Hamstring,vi,4,"Lặp lại 10-20 lần, sau đó đổi chân."
Ab_Crunch_Machine,en,1,Select a light resistance and sit down on the ab machine placing your feet under the pads provided and grabbing the top handles. Your arms should be bent at a 90 degree angle as you rest the triceps on the pads provided. This will be your starting position.
Ab_Crunch_Machine,vi,1,"Chọn mức kháng lực nhẹ và ngồi vào máy tập bụng, đặt chân dưới đệm và nắm lấy tay cầm trên. Cánh tay gập 90 độ, cẳng tay tựa trên đệm. Đây là vị trí bắt đầu."
Ab_Crunch_Machine,en,2,"At the same time, begin to lift the legs up as you crunch your upper torso. Breathe out as you perform this movement. Tip: Be sure to use a slow and controlled motion. Concentrate on using your abs to move the weight while relaxing your legs and feet."
Ab_Crunch_Machine,vi,2,"Đồng thời, nâng chân lên và gập thân trên. Thở ra khi thực hiện động tác. Tập trung siết cơ bụng, di chuyển chậm và có kiểm soát."
Ab_Crunch_Machine,en,3,"After a second pause, slowly return to the starting position as you breathe in."
Ab_Crunch_Machine,vi,3,"Sau khi tạm dừng một giây, từ từ về lại vị trí ban đầu trong khi hít vào."
Ab_Crunch_Machine,en,4,Repeat the movement for the prescribed amount of repetitions.
Ab_Crunch_Machine,vi,4,Lặp lại động tác theo số lần quy định.
Ab_Roller,en,1,Hold the Ab Roller with both hands and kneel on the floor.
Ab_Roller,vi,1,Giữ con lăn bụng bằng hai tay và quỳ trên sàn.
Ab_Roller,en,2,Now place the ab roller on the floor in front of you so that you are on all your hands and knees (as in a kneeling push up position). This will be your starting position.
Ab_Roller,vi,2,"Đặt con lăn bụng xuống sàn phía trước, vào tư thế quỳ bằng bốn chi (tư thế hít đất quỳ). Đây là vị trí bắt đầu."
Ab_Roller,en,3,"Slowly roll the ab roller straight forward, stretching your body into a straight position. Tip: Go down as far as you can without touching the floor with your body. Breathe in during this portion of the movement."
Ab_Roller,vi,3,"Lăn con lăn bụng chậm rãi về phía trước, duỗi thẳng cơ thể. Lưu ý: Lăn xuống xa nhất có thể mà không để thân chạm sàn. Hít vào trong suốt quá trình chuyển động này."
Ab_Roller,en,4,"After a pause at the stretched position, start pulling yourself back to the starting position as you breathe out. Tip: Go slowly and keep your abs tight at all times."
Ab_Roller,vi,4,"Sau khi tạm dừng ở vị trí căng cơ, bắt đầu kéo cơ thể về vị trí ban đầu đồng thời thở ra. Lưu ý: Thực hiện chậm và luôn siết chặt cơ bụng."
Adductor,en,1,Lie face down with one leg on a foam roll.
Adductor,vi,1,"Nằm sấp, một chân đặt lên con lăn xốp."
Adductor,en,2,Rotate the leg so that the foam roll contacts against your inner thigh. Shift as much weight onto the foam roll as can be tolerated.
Adductor,vi,2,Xoay chân để con lăn tiếp xúc với mặt trong đùi. Dồn trọng lượng lên con lăn nhiều nhất có thể chịu đựng được.
Adductor,en,3,"While trying to relax the muscles if the inner thigh, roll over the foam between your hip and knee, holding points of tension for 10-30 seconds. Repeat with the other leg."
Adductor,vi,3,"Lăn foam roller cơ đùi trong, lăn từ hông đến đầu gối, giữ điểm căng 10-30 giây. Lặp lại với chân kia."
Adductor_Groin,en,1,Lie on your back with your feet raised towards the ceiling.
Adductor_Groin,vi,1,"Nằm ngửa, hai chân nâng lên trần nhà."
Adductor_Groin,en,2,Have your partner hold your feet or ankles. Abduct your legs as far as you can. This will be your starting position.
Adductor_Groin,vi,2,Nhờ bạn tập giữ chân hoặc mắt cá chân của bạn. Dạng chân ra xa nhất có thể. Đây sẽ là vị trí bắt đầu của bạn.
Adductor_Groin,en,3,"Attempt to squeeze your legs together for 10 or more seconds, while your partner prevents you from doing so."
Adductor_Groin,vi,3,"Cố gắng ép hai chân vào nhau trong 10 giây hoặc hơn, trong khi đối tác giữ lại."
Adductor_Groin,en,4,"Now, relax the muscles in your legs as your partner pushes your feet apart, stretching as far as is comfortable for you. Be sure to let your partner know when the stretch is adequate to prevent overstretching or injury."
Adductor_Groin,vi,4,"Giãn cơ chân, đối tác đẩy chân sang hai bên. Thông báo cho đối tác khi đạt đủ độ căng để tránh chấn thương."
Advanced_Kettlebell_Windmill,en,1,Clean and press a kettlebell overhead with one arm.
Advanced_Kettlebell_Windmill,vi,1,Đẩy tạ chuông qua đầu bằng một tay.
