exercise_slug,muscle
3_4_Sit-Up,abdominals
90_90_Hamstring,hamstrings
Ab_Crunch_Machine,abdominals
Ab_Roller,abdominals
Adductor,adductors
Adductor_Groin,adductors
Advanced_Kettlebell_Windmill,abdominals
Air_Bike,abdominals
All_Fours_Quad_Stretch,quadriceps
Alternate_Hammer_Curl,biceps
Alternate_Heel_Touchers,abdominals
Alternate_Incline_Dumbbell_Curl,biceps
Alternate_Leg_Diagonal_Bound,quadriceps
Alternating_Cable_Shoulder_Press,shoulders
Alternating_Deltoid_Raise,shoulders
Alternating_Floor_Press,chest
Alternating_Hang_Clean,hamstrings
Alternating_Kettlebell_Press,shoulders
Alternating_Kettlebell_Row,middle back
Alternating_Renegade_Row,middle back
Ankle_Circles,calves
Ankle_On_The_Knee,glutes
Anterior_Tibialis-SMR,calves
Anti-Gravity_Press,shoulders
Arm_Circles,shoulders
Arnold_Dumbbell_Press,shoulders
Around_The_Worlds,chest
Atlas_Stone_Trainer,lower back
Atlas_Stones,lower back
Axle_Deadlift,lower back
Back_Flyes_-_With_Bands,shoulders
Backward_Drag,quadriceps
Backward_Medicine_Ball_Throw,shoulders
Balance_Board,calves
Ball_Leg_Curl,hamstrings
Band_Assisted_Pull-Up,lats
Band_Good_Morning,hamstrings
Band_Good_Morning_Pull_Through,hamstrings
Band_Hip_Adductions,adductors
Band_Pull_Apart,shoulders
Band_Skull_Crusher,triceps
Barbell_Ab_Rollout,abdominals
Barbell_Ab_Rollout_-_On_Knees,abdominals
Barbell_Bench_Press_-_Medium_Grip,chest
Barbell_Curl,biceps
Barbell_Curls_Lying_Against_An_Incline,biceps
Barbell_Deadlift,lower back
Barbell_Full_Squat,quadriceps
Barbell_Glute_Bridge,glutes
Barbell_Guillotine_Bench_Press,chest
Barbell_Hack_Squat,quadriceps
Barbell_Hip_Thrust,glutes
Barbell_Incline_Bench_Press_-_Medium_Grip,chest
Barbell_Incline_Shoulder_Raise,shoulders
Barbell_Lunge,quadriceps
Barbell_Rear_Delt_Row,shoulders
Barbell_Rollout_from_Bench,abdominals
Barbell_Seated_Calf_Raise,calves
Barbell_Shoulder_Press,shoulders
Barbell_Shrug,traps
Barbell_Shrug_Behind_The_Back,traps
Barbell_Side_Bend,abdominals
Barbell_Side_Split_Squat,quadriceps
Barbell_Squat,quadriceps
Barbell_Squat_To_A_Bench,quadriceps
Barbell_Step_Ups,quadriceps
Barbell_Walking_Lunge,quadriceps
Battling_Ropes,shoulders
Bear_Crawl_Sled_Drags,quadriceps
Behind_Head_Chest_Stretch,chest
Bench_Dips,triceps
Bench_Jump,quadriceps
Bench_Press_-_Powerlifting,triceps
Bench_Press_-_With_Bands,chest
Bench_Press_with_Chains,triceps
Bench_Sprint,quadriceps
Bent-Arm_Barbell_Pullover,lats
Bent-Arm_Dumbbell_Pullover,chest
Bent-Knee_Hip_Raise,abdominals
Bent_Over_Barbell_Row,middle back
Bent_Over_Dumbbell_Rear_Delt_Raise_With_Head_On_Bench,shoulders
Bent_Over_Low-Pulley_Side_Lateral,shoulders
Bent_Over_One-Arm_Long_Bar_Row,middle back
Bent_Over_Two-Arm_Long_Bar_Row,middle back
Bent_Over_Two-Dumbbell_Row,middle back
Bent_Over_Two-Dumbbell_Row_With_Palms_In,middle back
Bent_Press,abdominals
Bicycling,quadriceps
Bicycling_Stationary,quadriceps
Board_Press,triceps
Body-Up,triceps
Body_Tricep_Press,triceps
Bodyweight_Flyes,chest
Bodyweight_Mid_Row,middle back
Bodyweight_Squat,quadriceps
Bodyweight_Walking_Lunge,quadriceps
Bosu_Ball_Cable_Crunch_With_Side_Bends,abdominals
Bottoms-Up_Clean_From_The_Hang_Position,forearms
Bottoms_Up,abdominals
Box_Jump_Multiple_Response,hamstrings
Box_Skip,hamstrings
Box_Squat,quadriceps
Box_Squat_with_Bands,quadriceps
Box_Squat_with_Chains,quadriceps
Brachialis-SMR,biceps
Bradford_Rocky_Presses,shoulders
Butt-Ups,abdominals
Butt_Lift_Bridge,glutes
Butterfly,chest
Cable_Chest_Press,chest
Cable_Crossover,chest
Cable_Crunch,abdominals
Cable_Deadlifts,quadriceps
Cable_Hammer_Curls_-_Rope_Attachment,biceps
Cable_Hip_Adduction,quadriceps
Cable_Incline_Pushdown,lats
Cable_Incline_Triceps_Extension,triceps
Cable_Internal_Rotation,shoulders
Cable_Iron_Cross,chest
Cable_Judo_Flip,abdominals
Cable_Lying_Triceps_Extension,triceps
Cable_One_Arm_Tricep_Extension,triceps
Cable_Preacher_Curl,biceps
Cable_Rear_Delt_Fly,shoulders
Cable_Reverse_Crunch,abdominals
Cable_Rope_Overhead_Triceps_Extension,triceps
Cable_Rope_Rear-Delt_Rows,shoulders
Cable_Russian_Twists,abdominals
Cable_Seated_Crunch,abdominals
Cable_Seated_Lateral_Raise,shoulders
Cable_Shoulder_Press,shoulders
Cable_Shrugs,traps
Cable_Wrist_Curl,forearms
Calf-Machine_Shoulder_Shrug,traps
Calf_Press,calves
Calf_Press_On_The_Leg_Press_Machine,calves
Calf_Raise_On_A_Dumbbell,calves
Calf_Raises_-_With_Bands,calves
Calf_Stretch_Elbows_Against_Wall,calves
Calf_Stretch_Hands_Against_Wall,calves
Calves-SMR,calves
Car_Deadlift,quadriceps
Car_Drivers,shoulders
Carioca_Quick_Step,adductors
Cat_Stretch,lower back
Catch_and_Overhead_Throw,lats
Chain_Handle_Extension,triceps
Chain_Press,chest
Chair_Leg_Extended_Stretch,hamstrings
Chair_Lower_Back_Stretch,lats
Chair_Squat,quadriceps
Chair_Upper_Body_Stretch,shoulders
Chest_And_Front_Of_Shoulder_Stretch,chest
Chest_Push_from_3_point_stance,chest
Chest_Push_multiple_response,chest
Chest_Push_single_response,chest
Chest_Push_with_Run_Release,chest
Chest_Stretch_on_Stability_Ball,chest
Childs_Pose,lower back
Chin-Up,lats
Chin_To_Chest_Stretch,neck
Circus_Bell,shoulders
Clean,hamstrings
Clean_Deadlift,hamstrings
Clean_Pull,quadriceps
Clean_Shrug,traps
Clean_and_Jerk,shoulders
Clean_and_Press,shoulders
Clean_from_Blocks,quadriceps
Clock_Push-Up,chest
Close-Grip_Barbell_Bench_Press,triceps
Close-Grip_Dumbbell_Press,triceps
Close-Grip_EZ-Bar_Curl_with_Band,biceps
Close-Grip_EZ-Bar_Press,triceps
Close-Grip_EZ_Bar_Curl,biceps
Close-Grip_Front_Lat_Pulldown,lats
Close-Grip_Push-Up_off_of_a_Dumbbell,triceps
Close-Grip_Standing_Barbell_Curl,biceps
Cocoons,abdominals
Conans_Wheel,quadriceps
Concentration_Curls,biceps
Cross-Body_Crunch,abdominals
Cross_Body_Hammer_Curl,biceps
Cross_Over_-_With_Bands,chest
Crossover_Reverse_Lunge,lower back
Crucifix,shoulders
Crunch_-_Hands_Overhead,abdominals
Crunch_-_Legs_On_Exercise_Ball,abdominals
Crunches,abdominals
Cuban_Press,shoulders
Dancers_Stretch,lower back
Dead_Bug,abdominals
Deadlift_with_Bands,lower back
Deadlift_with_Chains,lower back
Decline_Barbell_Bench_Press,chest
Decline_Close-Grip_Bench_To_Skull_Crusher,triceps
Decline_Crunch,abdominals
Decline_Dumbbell_Bench_Press,chest
Decline_Dumbbell_Flyes,chest
Decline_Dumbbell_Triceps_Extension,triceps
Decline_EZ_Bar_Triceps_Extension,triceps
Decline_Oblique_Crunch,abdominals
Decline_Push-Up,chest
Decline_Reverse_Crunch,abdominals
Decline_Smith_Press,chest
Deficit_Deadlift,lower back
Depth_Jump_Leap,quadriceps
Dip_Machine,triceps
Dips_-_Chest_Version,chest
Dips_-_Triceps_Version,triceps
Donkey_Calf_Raises,calves
Double_Kettlebell_Alternating_Hang_Clean,hamstrings
Double_Kettlebell_Jerk,shoulders
Double_Kettlebell_Push_Press,shoulders
Double_Kettlebell_Snatch,shoulders
Double_Kettlebell_Windmill,abdominals
Double_Leg_Butt_Kick,quadriceps
Downward_Facing_Balance,glutes
Drag_Curl,biceps
Drop_Push,chest
Dumbbell_Alternate_Bicep_Curl,biceps
Dumbbell_Bench_Press,chest
Dumbbell_Bench_Press_with_Neutral_Grip,chest
Dumbbell_Bicep_Curl,biceps
Dumbbell_Clean,hamstrings
Dumbbell_Floor_Press,triceps
Dumbbell_Flyes,chest
Dumbbell_Incline_Row,middle back
Dumbbell_Incline_Shoulder_Raise,shoulders
Dumbbell_Lunges,quadriceps
